day,policy,MAE,RMSE,ovr,und
16_06_2026_,Expert,1.2861506176730226,1.8061953340999017,5.425274887749751,5.971571872274822
16_06_2026_,DDPG-A1,0.01218980044903229,0.10173495088111406,2.5192671614650664,0.2650416574801824
16_06_2026_,DDPG-A2,0.01218990969018095,0.10173130411131664,2.5191714163403844,0.2655177654784495
16_06_2026_,TD3-A1,0.01218990998451149,0.10173130449344298,2.519171421178015,0.26551787505499647
16_06_2026_,TD3-A2,0.0129506349089374,0.10290747504137307,2.542109448240282,0.3539280032520935
17_06_2026_,Expert,1.4821845716848925,2.0789042425313977,5.116738484362813,7.944698715413139
17_06_2026_,DDPG-A1,0.04310367423191599,0.5462872888744231,0.4525278754771449,0.21927765132865318
17_06_2026_,DDPG-A2,0.04310302788560973,0.5462871914966405,0.4524486987264993,0.21927260290659945
17_06_2026_,TD3-A1,0.04310302806858095,0.5462871915276181,0.45244871000952,0.21927262011131177
17_06_2026_,TD3-A2,0.04420279113070802,0.5467026241480287,0.6262162034310848,0.24527639649494404
18_06_2026_,Expert,1.7957950542569427,2.4429061174271234,8.219402356690267,6.434321213146461
18_06_2026_,DDPG-A1,0.025466989625715752,0.18199134250044793,2.7939346615641085,0.26634181313552574
18_06_2026_,DDPG-A2,0.025465160275068205,0.18199033265405348,2.793916619675514,0.2664685748573703
18_06_2026_,TD3-A1,0.025465160753105436,0.18199033295219477,2.7939166210637723,0.26646865314013723
18_06_2026_,TD3-A2,0.026582520459512614,0.18358633470823416,2.802278554535775,0.26818872152472295
19_06_2026_,Expert,0.33064792944974725,0.595799492158927,4.935499900999389,1.3510900521215348
19_06_2026_,DDPG-A1,0.005626699056260775,0.09612335679606232,2.24958020830492,0.27787281256570395
19_06_2026_,DDPG-A2,0.005626112504304873,0.09611491275031968,2.249464353513389,0.278175542921403
19_06_2026_,TD3-A1,0.005626112519624457,0.09611491304847287,2.2494643573415942,0.2781756119591279
19_06_2026_,TD3-A2,0.005830439418477715,0.0973837749977972,2.2786363301605803,0.3086960622209176
